member_casual,hour_of_day,total_rides,average_ride_length
casual,0,26870,19.72
casual,1,17282,20.32
casual,2,10472,19.88
casual,3,5733,19.56
casual,4,4635,17.55
casual,5,8923,15.47
casual,6,22289,14.96
casual,7,41800,15.44
casual,8,59269,17.01
casual,9,59730,23.68
casual,10,74182,27.79
casual,11,94582,27.84
casual,12,109374,26.39
casual,13,112375,26.52
casual,14,116963,25.86
casual,15,129771,24.1
casual,16,146638,22.2
casual,17,155537,21.5
casual,18,128649,21.26
casual,19,93596,21.37
casual,20,66827,20.34
casual,21,56041,19.91
casual,22,48786,19.79
casual,23,34860,20.17
member,0,20660,11.99
member,1,12488,12.2
member,2,6916,12.56
member,3,4700,12.32
member,4,6072,11.48
member,5,27044,11.05
member,6,84006,10.76
member,7,166843,11.07
member,8,205421,10.98
member,9,132497,11.09
member,10,113533,12.04
member,11,132028,12.2
member,12,148596,11.88
member,13,145592,12
member,14,147382,12.48
member,15,184677,12.53
member,16,262995,12.7
member,17,300003,13.02
member,18,224161,12.83
member,19,154079,12.78
member,20,104971,12.57
member,21,79932,12.52
member,22,56182,12.48
member,23,34469,12.62
