member_casual,month,total_rides,average_ride_length
casual,Jan,17090,12.94
casual,Feb,19631,13.44
casual,Mar,61667,19.65
casual,Apr,77014,20.79
casual,May,125685,23.32
casual,Jun,193111,24.53
casual,Jul,208821,24.29
casual,Aug,449650,24.48
casual,Sep,216132,22.08
casual,Oct,159340,22.32
casual,Nov,68795,17.75
casual,Dec,28248,14.91
member,Jan,84121,9.91
member,Feb,89945,9.86
member,Mar,148160,11.15
member,Apr,181857,11.37
member,May,215008,12.11
member,Jun,253190,13.08
member,Jul,285590,13.47
member,Aug,607118,13.15
member,Sep,320853,12.27
member,Oct,289761,11.88
member,Nov,177129,10.95
member,Dec,102515,10.51
