member_casual,start_station_name,total_rides
casual,Streeter Dr & Grand Ave,42986
casual,DuSable Lake Shore Dr & Monroe St,35010
casual,Michigan Ave & Oak St,24944
casual,Millennium Park,22191
casual,DuSable Lake Shore Dr & North Blvd,22148
casual,Shedd Aquarium,20470
casual,Dusable Harbor,17733
casual,Theater on the Lake,17160
casual,Michigan Ave & 8th St,13189
casual,Navy Pier,12023
member,Kingsbury St & Kinzie St,31061
member,Clinton St & Washington Blvd,25566
member,Clinton St & Madison St,23142
member,Clark St & Elm St,23117
member,Canal St & Madison St,21140
member,Clinton St & Jackson Blvd,19474
member,State St & Chicago Ave,18580
member,Wells St & Elm St,18491
member,Wells St & Concord Ln,18105
member,University Ave & 57th St,16866
